student_id,first_name,last_name,email,programme,mode,entry_year,entry_qualification,prior_avg_mark,created_at
1,Duc,Fraser,gvn1d6@student.sunderland.ac.uk,MSc Computer Science with Cyber Security,FT,2025,First,73.7,2026-07-09T00:00:00Z
2,Samuel,Zhang,holnhl@student.sunderland.ac.uk,MSc Computer Science with Cyber Security,FT,2025,International equivalent,67.7,2026-07-09T00:00:00Z
3,Kwame,Novak,czmzi9@student.sunderland.ac.uk,MSc Cybersecurity,FT,2025,2:1,68.9,2026-07-09T00:00:00Z
4,Emeka,MacDonald,v8kbqc@student.sunderland.ac.uk,MSc Cybersecurity,FT,2025,First,88.3,2026-07-09T00:00:00Z
5,Emeka,Ali,wkp26d@student.sunderland.ac.uk,MSc Data Science,FT,2025,2:1,66.7,2026-07-09T00:00:00Z
6,Omar,Garcia,oz3uzi@student.sunderland.ac.uk,MSc Cybersecurity,FT,2025,2:1,64.8,2026-07-09T00:00:00Z
7,Jack,Singh,y0vzy4@student.sunderland.ac.uk,MSc Computer Science with Data Science,FT,2025,First,77.1,2026-07-09T00:00:00Z
8,Lucia,Wang,fnfyko@student.sunderland.ac.uk,MSc Computer Science with Data Science,FT,2025,First,71.9,2026-07-09T00:00:00Z
9,Duc,Murphy,q5j6ut@student.sunderland.ac.uk,MSc Computer Science,FT,2025,International equivalent,66.1,2026-07-09T00:00:00Z
10,Emeka,Abubakar,ezfjb4@student.sunderland.ac.uk,MSc Data Science,FT,2025,2:2,58.3,2026-07-09T00:00:00Z
11,Aarav,Tran,ibk33u@student.sunderland.ac.uk,MSc Data Science,FT,2025,2:2,53.8,2026-07-09T00:00:00Z
12,Camila,Doyle,kirpxf@student.sunderland.ac.uk,MSc Data Science,PT,2025,International equivalent,54.9,2026-07-09T00:00:00Z
13,Li,Pham,malbku@student.sunderland.ac.uk,MSc Cybersecurity,FT,2025,International equivalent,68.0,2026-07-09T00:00:00Z
14,Nadia,Murphy,x2pjpm@student.sunderland.ac.uk,MSc Data Science,PT,2025,2:1,63.6,2026-07-09T00:00:00Z
15,Lucy,Singh,khmibt@student.sunderland.ac.uk,MSc Data Science,FT,2025,2:1,61.6,2026-07-09T00:00:00Z
16,Ethan,Diallo,uq3tfw@student.sunderland.ac.uk,MSc Computer Science,FT,2025,First,70.8,2026-07-09T00:00:00Z
17,Mei,Santos,n2j8ln@student.sunderland.ac.uk,MSc Data Science,FT,2025,2:2,54.0,2026-07-09T00:00:00Z
18,Somchai,Wang,hi5ljz@student.sunderland.ac.uk,MSc Cybersecurity,FT,2025,First,70.6,2026-07-09T00:00:00Z
19,Vikram,Li,m3u311@student.sunderland.ac.uk,MSc Computer Science with Data Science,FT,2025,2:2,57.6,2026-07-09T00:00:00Z
20,Tunde,Osei,cfubs2@student.sunderland.ac.uk,MSc Cybersecurity,FT,2025,2:1,65.0,2026-07-09T00:00:00Z
21,Linh,Singh,rthcbh@student.sunderland.ac.uk,MSc Cybersecurity,FT,2025,2:1,62.7,2026-07-09T00:00:00Z
22,Jin,Thomas,dz1iy3@student.sunderland.ac.uk,MSc Applied Cybersecurity,FT,2025,2:1,66.6,2026-07-09T00:00:00Z
23,Yan,Liu,xdhw35@student.sunderland.ac.uk,MSc Data Science,FT,2025,2:2,58.2,2026-07-09T00:00:00Z
24,Noah,Doyle,ue3ov7@student.sunderland.ac.uk,MSc Computer Science with Cyber Security,FT,2025,2:1,65.0,2026-07-09T00:00:00Z
25,Grace,Nowak,j0k9jx@student.sunderland.ac.uk,MSc Data Science,FT,2025,2:2,62.7,2026-07-09T00:00:00Z
26,Matteo,Brown,rl293o@student.sunderland.ac.uk,MSc Data Science,FT,2025,2:1,61.9,2026-07-09T00:00:00Z
27,Valentina,Hussain,i5q4j0@student.sunderland.ac.uk,MSc Computer Science with Cyber Security,FT,2025,2:1,64.0,2026-07-09T00:00:00Z
28,Thomas,Roberts,ogs38a@student.sunderland.ac.uk,MSc Applied Cybersecurity,PT,2025,First,66.4,2026-07-09T00:00:00Z
29,Maya,Rahman,guhno6@student.sunderland.ac.uk,MSc Data Science,FT,2025,First,77.3,2026-07-09T00:00:00Z
30,Mohammed,White,r609d6@student.sunderland.ac.uk,MSc Computer Science with Data Science,PT,2025,International equivalent,68.3,2026-07-09T00:00:00Z
31,Oliver,Jones,a6vr9g@student.sunderland.ac.uk,MSc Applied Cybersecurity,FT,2025,First,71.1,2026-07-09T00:00:00Z
32,Arjun,Taylor,nibkng@student.sunderland.ac.uk,MSc Cybersecurity,FT,2025,International equivalent,62.2,2026-07-09T00:00:00Z
33,Carlos,Petrov,vhs6ks@student.sunderland.ac.uk,MSc Data Science,FT,2025,2:2,55.7,2026-07-09T00:00:00Z
34,Sneha,Ibrahim,g9pnqb@student.sunderland.ac.uk,MSc Cybersecurity,FT,2025,2:1,68.8,2026-07-09T00:00:00Z
35,Jack,Rodriguez,urso99@student.sunderland.ac.uk,MSc Applied Cybersecurity,FT,2025,2:1,65.4,2026-07-09T00:00:00Z
36,Oliver,Iyer,v07q5x@student.sunderland.ac.uk,MSc Applied Cybersecurity,PT,2025,2:2,61.6,2026-07-09T00:00:00Z
37,Carlos,Burns,k9z5za@student.sunderland.ac.uk,MSc Computer Science with Data Science,FT,2025,2:2,57.0,2026-07-09T00:00:00Z
38,Lukas,Smith,ji6vtv@student.sunderland.ac.uk,MSc Cybersecurity,FT,2025,2:1,68.9,2026-07-09T00:00:00Z
39,Wei,Adeyemi,au5szo@student.sunderland.ac.uk,MSc Computer Science with Data Science,FT,2025,2:2,60.1,2026-07-09T00:00:00Z
40,Li,Silva,frx8d5@student.sunderland.ac.uk,MSc Data Science,FT,2025,2:1,63.8,2026-07-09T00:00:00Z
41,Priya,Eze,jemyr0@student.sunderland.ac.uk,MSc Computer Science with Data Science,FT,2025,2:2,55.3,2026-07-09T00:00:00Z
42,Duc,Schmidt,lkzqkd@student.sunderland.ac.uk,MSc Computer Science,FT,2025,2:1,60.8,2026-07-09T00:00:00Z
43,Camila,Patel,spfkkt@student.sunderland.ac.uk,MSc Data Science,FT,2025,2:1,60.4,2026-07-09T00:00:00Z
44,Sophie,Kowalski,lxb9gf@student.sunderland.ac.uk,MSc Computer Science,FT,2025,2:1,67.1,2026-07-09T00:00:00Z
45,Hannah,Le,hqhtay@student.sunderland.ac.uk,MSc Data Science,FT,2025,2:1,64.6,2026-07-09T00:00:00Z
46,Thomas,Iyer,i6r1z1@student.sunderland.ac.uk,MSc Data Science,FT,2025,2:1,66.0,2026-07-09T00:00:00Z
47,Isabela,Brown,a1elag@student.sunderland.ac.uk,MSc Cybersecurity,FT,2025,2:1,65.9,2026-07-09T00:00:00Z
48,Fatima,Ivanov,wvwxu6@student.sunderland.ac.uk,MSc Data Science,PT,2025,International equivalent,63.9,2026-07-09T00:00:00Z
49,Oliver,Silva,ifp4xy@student.sunderland.ac.uk,MSc Applied Cybersecurity,PT,2025,2:1,67.9,2026-07-09T00:00:00Z
50,Omar,Khan,um71vb@student.sunderland.ac.uk,MSc Applied Cybersecurity,FT,2025,International equivalent,68.5,2026-07-09T00:00:00Z
51,Wei,Nguyen,z47nuz@student.sunderland.ac.uk,MSc Computer Science,FT,2025,International equivalent,47.6,2026-07-09T00:00:00Z
52,Zara,Silva,g1jwf2@student.sunderland.ac.uk,MSc Computer Science with Cyber Security,FT,2025,2:1,67.1,2026-07-09T00:00:00Z
